symbol,date,netProfitMargin,grossProfitMargin,operatingProfitMargin,Name,Sector,Industry,Full Time Employees,Total ESG Risk score,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Level,Controversy Score,ESG Risk Percentile,ESG Risk Level
ABT,2021-12-31,0.1641555426581543,0.5696575739988392,0.1955890887986071,Abbott Laboratories,Healthcare,Medical Devices,"115,000",25.0,3.0,8.4,13.6,Significant,3.0,44th percentile,Medium
ABT,2020-12-31,0.1298832639852057,0.566487517337032,0.1547907998150716,Abbott Laboratories,Healthcare,Medical Devices,"115,000",25.0,3.0,8.4,13.6,Significant,3.0,44th percentile,Medium
ABBV,2024-12-31,0.0759399297049739,0.6999325451769801,0.2951148507118259,Abbvie Inc,Healthcare,Drug Manufacturers—General,"50,000",28.0,1.1,9.9,16.8,Significant,3.0,55th percentile,Medium
ABBV,2023-12-31,0.0895283331492323,0.6241577377664862,0.2348576899002172,Abbvie Inc,Healthcare,Drug Manufacturers—General,"50,000",28.0,1.1,9.9,16.8,Significant,3.0,55th percentile,Medium
ABBV,2022-12-31,0.2038791470010679,0.7000378957522306,0.3120715196196644,Abbvie Inc,Healthcare,Drug Manufacturers—General,"50,000",28.0,1.1,9.9,16.8,Significant,3.0,55th percentile,Medium
ABBV,2021-12-31,0.2053846290727263,0.6895563820132747,0.31894941011086,Abbvie Inc,Healthcare,Drug Manufacturers—General,"50,000",28.0,1.1,9.9,16.8,Significant,3.0,55th percentile,Medium
ABBV,2020-12-31,0.100777224696533,0.6640686402934242,0.2480787704130643,Abbvie Inc,Healthcare,Drug Manufacturers—General,"50,000",28.0,1.1,9.9,16.8,Significant,3.0,55th percentile,Medium
ACN,2024-08-31,0.1119442655612176,0.3260935295334426,0.1478639421710249,Accenture Plc Cl A,Technology,Information Technology Services,"732,000",10.0,0.3,4.8,4.6,Moderate,2.0,2nd percentile,Negligible
ACN,2023-08-31,0.1071809385316216,0.3233667559664769,0.1374145876079336,Accenture Plc Cl A,Technology,Information Technology Services,"732,000",10.0,0.3,4.8,4.6,Moderate,2.0,2nd percentile,Negligible
ACN,2022-08-31,0.1116526763310341,0.3198597500207202,0.1520786864954479,Accenture Plc Cl A,Technology,Information Technology Services,"732,000",10.0,0.3,4.8,4.6,Moderate,2.0,2nd percentile,Negligible
ACN,2021-08-31,0.1168892313951079,0.3238280337778256,0.1508216478415884,Accenture Plc Cl A,Technology,Information Technology Services,"732,000",10.0,0.3,4.8,4.6,Moderate,2.0,2nd percentile,Negligible
ACN,2020-08-31,0.1152307737045102,0.3152964491943619,0.1469451636505655,Accenture Plc Cl A,Technology,Information Technology Services,"732,000",10.0,0.3,4.8,4.6,Moderate,2.0,2nd percentile,Negligible
ADBE,2024-11-29,0.2585445245291792,0.89035108114392,0.3134619855847477,Adobe Inc,Technology,Software—Infrastructure,"29,239",12.0,1.9,4.6,5.9,Low,1.0,5th percentile,Low
ADBE,2023-12-01,0.2796640733680251,0.878716059559998,0.3426245556185275,Adobe Inc,Technology,Software—Infrastructure,"29,239",12.0,1.9,4.6,5.9,Low,1.0,5th percentile,Low
ADBE,2022-12-02,0.2701351811882312,0.8770305577643985,0.3463591957287288,Adobe Inc,Technology,Software—Infrastructure,"29,239",12.0,1.9,4.6,5.9,Low,1.0,5th percentile,Low
ADBE,2021-12-03,0.3054798859676908,0.8818498574596135,0.3675641431738993,Adobe Inc,Technology,Software—Infrastructure,"29,239",12.0,1.9,4.6,5.9,Low,1.0,5th percentile,Low
ADBE,2020-11-27,0.4087659309916071,0.8661796705004663,0.3292663972645321,Adobe Inc,Technology,Software—Infrastructure,"29,239",12.0,1.9,4.6,5.9,Low,1.0,5th percentile,Low
AES,2024-12-31,0.1367486561329206,0.1884671770646685,0.1650105880436553,Aes Corp,Utilities,Utilities—Diversified,"9,100",34.0,16.5,6.5,11.2,Moderate,2.0,78th percentile,High
AES,2023-12-31,0.0196558257025576,0.197663403852226,0.1775339437953899,Aes Corp,Utilities,Utilities—Diversified,"9,100",34.0,16.5,6.5,11.2,Moderate,2.0,78th percentile,High
AES,2022-12-31,-0.0432749465007529,0.2019497503368471,0.185939605294444,Aes Corp,Utilities,Utilities—Diversified,"9,100",34.0,16.5,6.5,11.2,Moderate,2.0,78th percentile,High
AES,2021-12-31,-0.0367112467462525,0.2433354276994883,0.2303204380217215,Aes Corp,Utilities,Utilities—Diversified,"9,100",34.0,16.5,6.5,11.2,Moderate,2.0,78th percentile,High
AES,2020-12-31,0.0047619047619047,0.2787784679089027,0.2616977225672878,Aes Corp,Utilities,Utilities—Diversified,"9,100",34.0,16.5,6.5,11.2,Moderate,2.0,78th percentile,High
AFL,2024-12-31,0.2845566708490171,1.0,0.3354767879548306,Aflac Inc,Financial Services,Insurance—Life,"12,882",17.0,0.0,10.0,7.0,Moderate,2.0,17th percentile,Negligible
AFL,2023-12-31,0.2472798683721671,1.0,0.279284539037206,Aflac Inc,Financial Services,Insurance—Life,"12,882",17.0,0.0,10.0,7.0,Moderate,2.0,17th percentile,Negligible
AFL,2022-12-31,0.2306929142081353,1.0,0.254242598297739,Aflac Inc,Financial Services,Insurance—Life,"12,882",17.0,0.0,10.0,7.0,Moderate,2.0,17th percentile,Negligible
AFL,2021-12-31,0.1963705560196788,1.0,0.2417153996101364,Aflac Inc,Financial Services,Insurance—Life,"12,882",17.0,0.0,10.0,7.0,Moderate,2.0,17th percentile,Negligible
AFL,2020-12-31,0.214635461120345,1.0,0.1868289834239252,Aflac Inc,Financial Services,Insurance—Life,"12,882",17.0,0.0,10.0,7.0,Moderate,2.0,17th percentile,Negligible
A,2024-10-31,0.1980030721966205,0.543010752688172,0.2285714285714285,Agilent Technologies Inc,Healthcare,Diagnostics & Research,"18,000",15.0,0.3,6.3,8.6,Low,1.0,11th percentile,Low
A,2023-10-31,0.1814722669398507,0.507097907214986,0.1975706132006439,Agilent Technologies Inc,Healthcare,Diagnostics & Research,"18,000",15.0,0.3,6.3,8.6,Low,1.0,11th percentile,Low
A,2022-10-31,0.1831191588785046,0.5435163551401869,0.2362733644859813,Agilent Technologies Inc,Healthcare,Diagnostics & Research,"18,000",15.0,0.3,6.3,8.6,Low,1.0,11th percentile,Low
A,2021-10-31,0.1914859946194018,0.539167589808514,0.2131666402911853,Agilent Technologies Inc,Healthcare,Diagnostics & Research,"18,000",15.0,0.3,6.3,8.6,Low,1.0,11th percentile,Low
A,2020-10-31,0.1346694137478928,0.5313729162764562,0.158456639820191,Agilent Technologies Inc,Healthcare,Diagnostics & Research,"18,000",15.0,0.3,6.3,8.6,Low,1.0,11th percentile,Low
APD,2024-09-30,0.3163644777944895,0.3249343007784738,0.3690808720228749,Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals,"19,710",11.0,5.9,3.6,1.3,Low,1.0,3rd percentile,Low
APD,2023-09-30,0.1825555555555555,0.298968253968254,0.1979841269841269,Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals,"19,710",11.0,5.9,3.6,1.3,Low,1.0,3rd percentile,Low
APD,2022-09-30,0.177665254437497,0.2646039720914117,0.1841777833776952,Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals,"19,710",11.0,5.9,3.6,1.3,Low,1.0,3rd percentile,Low
APD,2021-09-30,0.2033420517291485,0.30387484258452,0.2210016468080984,Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals,"19,710",11.0,5.9,3.6,1.3,Low,1.0,3rd percentile,Low
APD,2020-09-30,0.2130347887944175,0.3385386673893161,0.252656301164143,Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals,"19,710",11.0,5.9,3.6,1.3,Low,1.0,3rd percentile,Low
AKAM,2024-12-31,0.1265088314999519,0.5939050924441166,0.1336478444405247,Akamai Technologies Inc,Technology,Software—Infrastructure,"9,800",17.0,2.9,6.7,6.9,Low,1.0,14th percentile,Low
AKAM,2023-12-31,0.1436622489454133,0.603595301055636,0.1671960586790908,Akamai Technologies Inc,Technology,Software—Infrastructure,"9,800",17.0,2.9,6.7,6.9,Low,1.0,14th percentile,Low
AKAM,2022-12-31,0.1447946084972463,0.6173758949570515,0.1869888576568286,Akamai Technologies Inc,Technology,Software—Infrastructure,"9,800",17.0,2.9,6.7,6.9,Low,1.0,14th percentile,Low
AKAM,2021-12-31,0.1882692909413811,0.6333792997446278,0.2262633756911935,Akamai Technologies Inc,Technology,Software—Infrastructure,"9,800",17.0,2.9,6.7,6.9,Low,1.0,14th percentile,Low
AKAM,2020-12-31,0.1741801273173951,0.6458351377624995,0.2059109816334386,Akamai Technologies Inc,Technology,Software—Infrastructure,"9,800",17.0,2.9,6.7,6.9,Low,1.0,14th percentile,Low
ALB,2024-12-31,-0.2193292975245493,0.0116296973738481,-0.330364743936152,Albemarle Corp,Basic Materials,Specialty Chemicals,"7,400",29.0,16.0,8.0,6.0,Moderate,2.0,60th percentile,
ALB,2023-12-31,0.1636105632791571,0.1233112163692499,0.0261906710298202,Albemarle Corp,Basic Materials,Specialty Chemicals,"7,400",29.0,16.0,8.0,6.0,Moderate,2.0,60th percentile,
ALB,2022-12-31,0.2790747235285182,0.4200195789568017,0.3374352331606217,Albemarle Corp,Basic Materials,Specialty Chemicals,"7,400",29.0,16.0,8.0,6.0,Moderate,2.0,60th percentile,
ALB,2021-12-31,0.0371615378443892,0.2998749683364298,-0.0303119902090081,Albemarle Corp,Basic Materials,Specialty Chemicals,"7,400",29.0,16.0,8.0,6.0,Moderate,2.0,60th percentile,
ALB,2020-12-31,0.1200942564964337,0.3179552361541994,0.1616576257091529,Albemarle Corp,Basic Materials,Specialty Chemicals,"7,400",29.0,16.0,8.0,6.0,Moderate,2.0,60th percentile,
ARE,2024-12-31,0.1036290661578735,0.7082316934251575,0.2683839078114,Alexandria Real Estate Equit,Real Estate,REIT—Office,593,14.0,3.9,6.3,3.7,,0.0,8th percentile,Low
ARE,2023-12-31,0.0359146951917022,0.702262779312742,0.3770434823590402,Alexandria Real Estate Equit,Real Estate,REIT—Office,593,14.0,3.9,6.3,3.7,,0.0,8th percentile,Low
ARE,2022-12-31,0.2014938805590812,0.6975030919727675,0.2421935895544237,Alexandria Real Estate Equit,Real Estate,REIT—Office,593,14.0,3.9,6.3,3.7,,0.0,8th percentile,Low
ARE,2021-12-31,0.1971605609819549,0.7050564056476598,0.2508469124707329,Alexandria Real Estate Equit,Real Estate,REIT—Office,593,14.0,3.9,6.3,3.7,,0.0,8th percentile,Low
ARE,2020-12-31,0.3135290620623163,0.7188090814934157,0.2821942929630676,Alexandria Real Estate Equit,Real Estate,REIT—Office,593,14.0,3.9,6.3,3.7,,0.0,8th percentile,Low
ALLE,2024-12-31,0.1583956311966491,0.442314829542442,0.2069614548539314,Allegion Plc,Industrials,Security & Protection Services,"12,300",24.0,13.0,6.0,5.0,,0.0,40th percentile,
ALLE,2023-12-31,0.148022351265476,0.4331927248822176,0.1940396625397173,Allegion Plc,Industrials,Security & Protection Services,"12,300",24.0,13.0,6.0,5.0,,0.0,40th percentile,
ALLE,2022-12-31,0.1399798282343592,0.4041688315657569,0.179223081390018,Allegion Plc,Industrials,Security & Protection Services,"12,300",24.0,13.0,6.0,5.0,,0.0,40th percentile,
ALLE,2021-12-31,0.1684452814396317,0.4202064588128618,0.1849061867894259,Allegion Plc,Industrials,Security & Protection Services,"12,300",24.0,13.0,6.0,5.0,,0.0,40th percentile,
ALLE,2020-12-31,0.1155557189602558,0.433398286701717,0.1483510423177322,Allegion Plc,Industrials,Security & Protection Services,"12,300",24.0,13.0,6.0,5.0,,0.0,40th percentile,
LNT,2024-12-31,0.1733232856066315,0.4471238382316001,0.2225571464456166,Alliant Energy Corp,Utilities,Utilities—Regulated Electric,"3,129",22.0,10.0,6.2,5.7,Low,1.0,32nd percentile,Medium
LNT,2023-12-31,0.1745716414204122,0.4305934939160665,0.2341693568413211,Alliant Energy Corp,Utilities,Utilities—Regulated Electric,"3,129",22.0,10.0,6.2,5.7,Low,1.0,32nd percentile,Medium
LNT,2022-12-31,0.1631391200951248,0.4064209274673008,0.2206896551724138,Alliant Energy Corp,Utilities,Utilities—Regulated Electric,"3,129",22.0,10.0,6.2,5.7,Low,1.0,32nd percentile,Medium
LNT,2021-12-31,0.1837012810029981,0.4240937585173072,0.2166802943581357,Alliant Energy Corp,Utilities,Utilities—Regulated Electric,"3,129",22.0,10.0,6.2,5.7,Low,1.0,32nd percentile,Medium
LNT,2020-12-31,0.1826697892271662,0.4282786885245901,0.2166276346604215,Alliant Energy Corp,Utilities,Utilities—Regulated Electric,"3,129",22.0,10.0,6.2,5.7,Low,1.0,32nd percentile,Medium
ALL,2024-12-31,0.0728012978504352,1.0,0.0970579976913237,Allstate Corp,Financial Services,Insurance—Property & Casualty,"54,000",19.0,1.0,10.0,8.0,Moderate,2.0,23rd percentile,Negligible
ALL,2023-12-31,-0.0032928153571303,0.874995621256174,0.0,Allstate Corp,Financial Services,Insurance—Property & Casualty,"54,000",19.0,1.0,10.0,8.0,Moderate,2.0,23rd percentile,Negligible
ALL,2022-12-31,-0.0265307710262195,0.8551699992219716,-0.0285925464872014,Allstate Corp,Financial Services,Insurance—Property & Casualty,"54,000",19.0,1.0,10.0,8.0,Moderate,2.0,23rd percentile,Negligible
ALL,2021-12-31,0.1019807068870087,0.8564877045939748,0.0141535542025776,Allstate Corp,Financial Services,Insurance—Property & Casualty,"54,000",19.0,1.0,10.0,8.0,Moderate,2.0,23rd percentile,Negligible
ALL,2020-12-31,0.1244892947243865,0.8720278627402827,0.1315889352771762,Allstate Corp,Financial Services,Insurance—Property & Casualty,"54,000",19.0,1.0,10.0,8.0,Moderate,2.0,23rd percentile,Negligible
GOOGL,2024-12-31,0.28603671811164,0.5820043540617911,0.3210977721145769,Alphabet Inc Cl A,Communication Services,Internet Content & Information,"181,798",24.0,1.7,11.4,11.1,High,4.0,41st percentile,Medium
GOOGL,2023-12-31,0.2400664944663851,0.566250479840205,0.2742181044522664,Alphabet Inc Cl A,Communication Services,Internet Content & Information,"181,798",24.0,1.7,11.4,11.1,High,4.0,41st percentile,Medium
GOOGL,2022-12-31,0.2120380715326196,0.5537944250378312,0.2646127084246701,Alphabet Inc Cl A,Communication Services,Internet Content & Information,"181,798",24.0,1.7,11.4,11.1,High,4.0,41st percentile,Medium
GOOGL,2021-12-31,0.2951167728237792,0.5693980290098084,0.3055228868524319,Alphabet Inc Cl A,Communication Services,Internet Content & Information,"181,798",24.0,1.7,11.4,11.1,High,4.0,41st percentile,Medium
GOOGL,2020-12-31,0.2206194152098045,0.5357837470620785,0.225851517857632,Alphabet Inc Cl A,Communication Services,Internet Content & Information,"181,798",24.0,1.7,11.4,11.1,High,4.0,41st percentile,Medium
MO,2024-12-31,0.5509684993152025,0.7027489728037566,0.5498434748581491,Altria Group Inc,Consumer Defensive,Tobacco,"6,300",24.0,4.7,6.3,13.0,Moderate,2.0,40th percentile,Medium
MO,2023-12-31,0.3965466783728417,0.696712515852112,0.5632133450395084,Altria Group Inc,Consumer Defensive,Tobacco,"6,300",24.0,4.7,6.3,13.0,Moderate,2.0,40th percentile,Medium
MO,2022-12-31,0.27861562258314,0.6886117556071152,0.4124129930394432,Altria Group Inc,Consumer Defensive,Tobacco,"6,300",24.0,4.7,6.3,13.0,Moderate,2.0,40th percentile,Medium
MO,2021-12-31,0.1172374591445218,0.66278243569703,0.5475818293780493,Altria Group Inc,Consumer Defensive,Tobacco,"6,300",24.0,4.7,6.3,13.0,Moderate,2.0,40th percentile,Medium
MO,2020-12-31,0.2143371239383906,0.6248740463509429,0.5217120099803272,Altria Group Inc,Consumer Defensive,Tobacco,"6,300",24.0,4.7,6.3,13.0,Moderate,2.0,40th percentile,Medium
AMZN,2024-12-31,0.0928711719718665,0.4885439346415678,0.1075194487420038,Amazon.com Inc,Consumer Cyclical,Internet Retail,"1,541,000",30.0,5.6,9.9,14.8,Significant,3.0,64th percentile,High
AMZN,2023-12-31,0.0529328357559783,0.4698208895500056,0.0641144079960333,Amazon.com Inc,Consumer Cyclical,Internet Retail,"1,541,000",30.0,5.6,9.9,14.8,Significant,3.0,64th percentile,High
AMZN,2022-12-31,-0.0052958950004183,0.4380533986532628,0.0238295819122422,Amazon.com Inc,Consumer Cyclical,Internet Retail,"1,541,000",30.0,5.6,9.9,14.8,Significant,3.0,64th percentile,High
AMZN,2021-12-31,0.0710141287551455,0.420325144416396,0.0529540975092694,Amazon.com Inc,Consumer Cyclical,Internet Retail,"1,541,000",30.0,5.6,9.9,14.8,Significant,3.0,64th percentile,High
AMZN,2020-12-31,0.0552524969953168,0.3956779186870571,0.0593139997513365,Amazon.com Inc,Consumer Cyclical,Internet Retail,"1,541,000",30.0,5.6,9.9,14.8,Significant,3.0,64th percentile,High
AEE,2024-12-31,0.1550570641479732,0.4792076610258428,0.1988718352354716,Ameren Corporation,Utilities,Utilities—Regulated Electric,"9,244",30.0,14.1,5.5,9.9,Moderate,2.0,63rd percentile,Medium
AEE,2023-12-31,0.1536,0.4622666666666666,0.2077333333333333,Ameren Corporation,Utilities,Utilities—Regulated Electric,"9,244",30.0,14.1,5.5,9.9,Moderate,2.0,63rd percentile,Medium
AEE,2022-12-31,0.1349754932763604,0.4201332160361945,0.1903983913535252,Ameren Corporation,Utilities,Utilities—Regulated Electric,"9,244",30.0,14.1,5.5,9.9,Moderate,2.0,63rd percentile,Medium
AEE,2021-12-31,0.1548326556146387,0.4677822959024085,0.2084766969033469,Ameren Corporation,Utilities,Utilities—Regulated Electric,"9,244",30.0,14.1,5.5,9.9,Moderate,2.0,63rd percentile,Medium
AEE,2020-12-31,0.1503279254401104,0.4932688988608906,0.2243700379703141,Ameren Corporation,Utilities,Utilities—Regulated Electric,"9,244",30.0,14.1,5.5,9.9,Moderate,2.0,63rd percentile,Medium
AEP,2024-12-31,0.1504515422411301,0.631799120747618,0.2182209083579682,American Electric Power,Utilities,Utilities—Regulated Electric,"16,974",26.0,13.0,5.0,8.0,Moderate,2.0,47th percentile,
AEP,2023-12-31,0.1163241546071866,0.5862145261638474,0.1873429457968739,American Electric Power,Utilities,Utilities—Regulated Electric,"16,974",26.0,13.0,5.0,8.0,Moderate,2.0,47th percentile,
AEP,2022-12-31,0.1174775325237404,0.5749739046309733,0.1773313984571908,American Electric Power,Utilities,Utilities—Regulated Electric,"16,974",26.0,13.0,5.0,8.0,Moderate,2.0,47th percentile,
AEP,2021-12-31,0.1481717484516436,0.607664363982849,0.203150309671272,American Electric Power,Utilities,Utilities—Regulated Electric,"16,974",26.0,13.0,5.0,8.0,Moderate,2.0,47th percentile,
AEP,2020-12-31,0.1474746120588531,0.6393672286087744,0.2002681234708583,American Electric Power,Utilities,Utilities—Regulated Electric,"16,974",26.0,13.0,5.0,8.0,Moderate,2.0,47th percentile,
AXP,2024-12-31,0.1365075942372744,0.8189107963504535,0.1737847198824813,American Express Co,Financial Services,Credit Services,"77,300",18.0,0.1,9.9,8.4,Moderate,2.0,20th percentile,Low
AXP,2023-12-31,0.1243097203253963,0.8252479068938899,0.156062585357164,American Express Co,Financial Services,Credit Services,"77,300",18.0,0.1,9.9,8.4,Moderate,2.0,20th percentile,Low
AXP,2022-12-31,0.1350831460674157,0.9111011235955055,0.172314606741573,American Express Co,Financial Services,Credit Services,"77,300",18.0,0.1,9.9,8.4,Moderate,2.0,20th percentile,Low
AXP,2021-12-31,0.1814089579113211,1.0030609948233176,0.2405806887238352,American Express Co,Financial Services,Credit Services,"77,300",18.0,0.1,9.9,8.4,Moderate,2.0,20th percentile,Low
AXP,2020-12-31,0.0817747867595273,0.821895296971594,0.112058846545113,American Express Co,Financial Services,Credit Services,"77,300",18.0,0.1,9.9,8.4,Moderate,2.0,20th percentile,Low
AIG,2024-12-31,-0.0514775977121067,1.0,0.1418933783090122,American International Group,Financial Services,Insurance—Diversified,"26,200",25.0,2.0,14.0,10.0,Moderate,2.0,45th percentile,
AIG,2023-12-31,0.0770988973778332,1.0,0.0820723370933948,American International Group,Financial Services,Insurance—Diversified,"26,200",25.0,2.0,14.0,10.0,Moderate,2.0,45th percentile,
AIG,2022-12-31,0.1867331288343558,0.8625839906514753,0.2990614957639497,American International Group,Financial Services,Insurance—Diversified,"26,200",25.0,2.0,14.0,10.0,Moderate,2.0,45th percentile,
AIG,2021-12-31,0.1995227005908504,0.8327142554706596,0.2568756134644623,American International Group,Financial Services,Insurance—Diversified,"26,200",25.0,2.0,14.0,10.0,Moderate,2.0,45th percentile,
AIG,2020-12-31,-0.1355870343757841,0.8061315267227811,-0.1330550423139214,American International Group,Financial Services,Insurance—Diversified,"26,200",25.0,2.0,14.0,10.0,Moderate,2.0,45th percentile,
AMT,2024-12-31,0.2226676672722964,0.7457935065960977,0.445977170392606,American Tower Corp,Real Estate,REIT—Specialty,"6,391",11.0,2.4,5.0,3.6,Low,1.0,3rd percentile,Low
AMT,2023-12-31,0.133100626334775,0.7074173112471062,0.271432673498322,American Tower Corp,Real Estate,REIT—Specialty,"6,391",11.0,2.4,5.0,3.6,Low,1.0,3rd percentile,Low
AMT,2022-12-31,0.1648570174865326,0.6952880656515203,0.2196132983540439,American Tower Corp,Real Estate,REIT—Specialty,"6,391",11.0,2.4,5.0,3.6,Low,1.0,3rd percentile,Low
AMT,2021-12-31,0.2744178093171884,0.7133666064615417,0.3347262448033002,American Tower Corp,Real Estate,REIT—Specialty,"6,391",11.0,2.4,5.0,3.6,Low,1.0,3rd percentile,Low
AMT,2020-12-31,0.2102344090032954,0.723036746875583,0.3590747994777093,American Tower Corp,Real Estate,REIT—Specialty,"6,391",11.0,2.4,5.0,3.6,Low,1.0,3rd percentile,Low
AWK,2024-12-31,0.2243808710503843,0.60333048676345,0.3667805294619983,American Water Works Co Inc,Utilities,Utilities—Regulated Water,"6,500",22.0,9.0,5.0,8.0,Low,1.0,32nd percentile,
AWK,2023-12-31,0.2229570146433632,0.593764761454889,0.3552196504487482,American Water Works Co Inc,Utilities,Utilities—Regulated Water,"6,500",22.0,9.0,5.0,8.0,Low,1.0,32nd percentile,
AWK,2022-12-31,0.2162447257383966,0.5809599156118144,0.3357067510548523,American Water Works Co Inc,Utilities,Utilities—Regulated Water,"6,500",22.0,9.0,5.0,8.0,Low,1.0,32nd percentile,
AWK,2021-12-31,0.3213740458015267,0.5478371501272264,0.3043256997455471,American Water Works Co Inc,Utilities,Utilities—Regulated Water,"6,500",22.0,9.0,5.0,8.0,Low,1.0,32nd percentile,
AWK,2020-12-31,0.1877151178183743,0.5705586444267937,0.3304209690230341,American Water Works Co Inc,Utilities,Utilities—Regulated Water,"6,500",22.0,9.0,5.0,8.0,Low,1.0,32nd percentile,
AMP,2024-12-31,0.1969995366079703,1.0,0.2471617238183503,Ameriprise Financial Inc,Financial Services,Asset Management,"13,500",23.0,2.6,12.8,7.2,Moderate,2.0,35th percentile,Medium
AMP,2023-12-31,0.1645317026070164,1.0,0.2081750885098165,Ameriprise Financial Inc,Financial Services,Asset Management,"13,500",23.0,2.6,12.8,7.2,Moderate,2.0,35th percentile,Medium
AMP,2022-12-31,0.2208584654229204,1.0,0.2757048674428391,Ameriprise Financial Inc,Financial Services,Asset Management,"13,500",23.0,2.6,12.8,7.2,Moderate,2.0,35th percentile,Medium
AMP,2021-12-31,0.2554384391119085,1.0,0.3128504148912312,Ameriprise Financial Inc,Financial Services,Asset Management,"13,500",23.0,2.6,12.8,7.2,Moderate,2.0,35th percentile,Medium
AMP,2020-12-31,0.1289183965039078,1.0,0.1538784771829565,Ameriprise Financial Inc,Financial Services,Asset Management,"13,500",23.0,2.6,12.8,7.2,Moderate,2.0,35th percentile,Medium
AME,2024-12-31,0.1982550517347194,0.3567789626547648,0.2563774459097733,Ametek Inc,Industrials,Specialty Industrial Machinery,"19,600",24.0,8.6,6.9,8.5,Low,1.0,41st percentile,Medium
AME,2023-12-31,0.1990598685756296,0.3614496092891412,0.2588255178529472,Ametek Inc,Industrials,Specialty Industrial Machinery,"19,600",24.0,8.6,6.9,8.5,Low,1.0,41st percentile,Medium
AME,2022-12-31,0.1885271675774283,0.3487941689577971,0.2439939322302305,Ametek Inc,Industrials,Specialty Industrial Machinery,"19,600",24.0,8.6,6.9,8.5,Low,1.0,41st percentile,Medium
AME,2021-12-31,0.1785000452536494,0.3448317267386326,0.235944595109649,Ametek Inc,Industrials,Specialty Industrial Machinery,"19,600",24.0,8.6,6.9,8.5,Low,1.0,41st percentile,Medium
AME,2020-12-31,0.192165953124969,0.3399788855974268,0.2264047212033227,Ametek Inc,Industrials,Specialty Industrial Machinery,"19,600",24.0,8.6,6.9,8.5,Low,1.0,41st percentile,Medium
AMGN,2024-12-31,0.1223671613212063,0.6153063666826233,0.2171493537577788,Amgen Inc,Healthcare,Drug Manufacturers—General,"25,200",22.0,0.7,7.9,13.5,Significant,3.0,32nd percentile,Medium
AMGN,2023-12-31,0.2382759843916282,0.7014898900319262,0.2801347995743171,Amgen Inc,Healthcare,Drug Manufacturers—General,"25,200",22.0,0.7,7.9,13.5,Significant,3.0,32nd percentile,Medium
